program_id,program_name,pdf,Address,City,Zip
002190020840,"""BECOMING ME"" SOCIAL AND EMOTIONAL LEARNING ENRICHMENT AFTER-SCHOOL PROGRAM",https://childcaresearch.ohio.gov//pdf/002190020840_2023-10-25_ANNUAL.pdf,2627 PARK AVE,CINCINNATI,45206
002190020063,1ST CHOICE CHILD CARE,https://childcaresearch.ohio.gov//pdf/002190020063_2024-07-16_ANNUAL.pdf,4303 CLEVELAND AVE,COLUMBUS,43224
000000300864,1ST FRIENDS LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/000000300864_2024-07-24_ANNUAL.pdf,1930 PEARL RD,BRUNSWICK,44212
002190019999,3MB AFTERSCHOOL,https://childcaresearch.ohio.gov//pdf/002190019999_2024-10-23_ANNUAL.pdf,18316 ST. CLAIR AVENUE,CLEVELAND,44110
000000201048,3T LEARNING ACADEMY LLC 11,https://childcaresearch.ohio.gov//pdf/000000201048_2024-10-29_ANNUAL.pdf,7523 READING ROAD,CINCINNATI,45237
002220025784,4 MYKIDZ LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002220025784_2024-01-29_ANNUAL.pdf,10461 PIPPIN ROAD,CINCINNATI,45231
002210025291,5 STAR LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002210025291_2025-01-09_ANNUAL.pdf,8264 CLARA AVE,CINCINNATI,45239
000000203941,A & D DAY CARE AND LEARNING CENTER INC,https://childcaresearch.ohio.gov//pdf/000000203941_2024-08-14_ANNUAL.pdf,1049 INFIRMARY RD,DAYTON,45418
002200022786,A & J KIDUCATION LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002200022786_2024-09-09_ANNUAL.pdf,1736 COMMERCE STREET,WELLSVILLE,43968
002180019164,A + CHILDCARE AND PRESCHOOL,https://childcaresearch.ohio.gov//pdf/002180019164_2024-08-07_ANNUAL.pdf,3310 WALES RD,MASSILLON,44646
000000100361,"A 2 Z PRESCHOOL, INC.",https://childcaresearch.ohio.gov//pdf/000000100361_2024-12-10_ANNUAL.pdf,190 WOODROW AVENUE,SAINT CLAIRSVIL,43950
000000107193,A BEAUTIFUL CHILD'S PRESCHOOL & DAYCARE,https://childcaresearch.ohio.gov//pdf/000000107193_2024-12-12_ANNUAL.pdf,1449 BRITTAIN RD,AKRON,44310
000000207607,A BETTER CHILD CARE CORP,https://childcaresearch.ohio.gov//pdf/000000207607_2024-08-27_ANNUAL.pdf,6945 HARRISON AVENUE,CINCINNATI,45247
000000400468,A BETTER CHOICE CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000400468_2024-09-04_ANNUAL.pdf,2572 CLEVELAND,COLUMBUS,43211
000000401180,A BETTER CHOICE DAYCARE & LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000401180_2024-07-16_ANNUAL.pdf,2960 E. DUBLIN GRANVILLE RD,COLUMBUS,43231
002220026936,A BETTER DAY ACADEMY,https://childcaresearch.ohio.gov//pdf/002220026936_2024-10-03_ANNUAL.pdf,3128 MAYFIELD RD,CLEVELAND HEIGHTS,44118
002210025027,A BLESSED CHILD LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002210025027_2024-07-15_ANNUAL.pdf,3870 E. LIVINGSTON AVE,COLUMBUS,43227
000000200979,A BRIGHTER START CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000200979_2024-10-02_ANNUAL.pdf,2765 BLUE ROCK RD.,CINCINNATI,45239
000000205547,A CHILD'S GARDEN,https://childcaresearch.ohio.gov//pdf/000000205547_2024-12-18_ANNUAL.pdf,5427 JULMAR DRIVE,CINCINNATI,45238
002170012482,A CHILD'S JOURNEY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170012482_2024-08-09_ANNUAL.pdf,846 S. YEARLING RD,WHITEHALL,43213
000000401176,A CHILD'S PLACE LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000401176_2024-09-27_ANNUAL.pdf,2010 OFFICEVIEW PLACE,REYNOLDSBURG,43068
000000200644,A GREAT START PRESCHOOL INC,https://childcaresearch.ohio.gov//pdf/000000200644_2024-11-21_ANNUAL.pdf,7001 FAR HILLS AVE,DAYTON,45459
002220026701,A JOYFUL JOURNEY ACADEMY,https://childcaresearch.ohio.gov//pdf/002220026701_2025-01-10_ANNUAL.pdf,1536 BARNETT ROAD,COLUMBUS,43227
000000300001,A JUBILEE ACADEMY,https://childcaresearch.ohio.gov//pdf/000000300001_2024-11-05_ANNUAL.pdf,15751 LAKESHORE BLVD,CLEVELAND,44110
000000306543,A KID'S PLACE CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000306543_2025-01-06_ANNUAL.pdf,30121 LORAIN RD,NORTH OLMSTED,44070
002190019520,A KIDS ONLY EARLY LEARNING CENTER INC. 4,https://childcaresearch.ohio.gov//pdf/002190019520_2024-08-28_ANNUAL.pdf,2505 SOUTH RIDGE EAST,ASHTABULA,44004
000000307578,A KIDS ONLY EARLY LEARNING CT INC,https://childcaresearch.ohio.gov//pdf/000000307578_2024-10-01_ANNUAL.pdf,2621 STATE ROAD,ASHTABULA,44004
000000400839,A LITTLE PIECE OF HEAVEN LEARNING CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000400839_2024-11-05_ANNUAL.pdf,771 HARRISBURG PIKE,COLUMBUS,43223
000000400965,"A LOVE FOR CHILDREN, LLC",https://childcaresearch.ohio.gov//pdf/000000400965_2024-09-09_ANNUAL.pdf,4656 HEATON ROAD,COLUMBUS,43229
002200022034,A MILLION DREAMS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002200022034_2024-08-27_ANNUAL.pdf,541 MAIN STREET,MILFORD,45150
002230027669,A MOTHER'S LUV EARLY EDUCATION CENTER,https://childcaresearch.ohio.gov//pdf/002230027669_2024-07-23_ANNUAL.pdf,3142 READING RD,CINCINNATI,45229
002190020297,A MOTHERS TOUCH LAST FOREVER LLC,https://childcaresearch.ohio.gov//pdf/002190020297_2024-08-26_ANNUAL.pdf,3006/3010 DOUGLAS RD.,TOLEDO,43606
000000107064,A PLACE FOR EVERYONE LLC,https://childcaresearch.ohio.gov//pdf/000000107064_2024-12-10_ANNUAL.pdf,5192 DARROW RD,HUDSON,44236
002210025267,A PLACE TO GROW ACADEMY,https://childcaresearch.ohio.gov//pdf/002210025267_2024-08-13_ANNUAL.pdf,6760 DISCOVERY BLVD,DUBLIN,43017
002180018327,A PLACE TO GROW DAYCARE CENTER AND PRESCHOOL LLC,https://childcaresearch.ohio.gov//pdf/002180018327_2024-08-29_ANNUAL.pdf,115 W ST CLAIR ST # A,EATON,45320
000000104554,A PLACE TO LEARN AND GROW INCORPORATED,https://childcaresearch.ohio.gov//pdf/000000104554_2023-10-11_ANNUAL.pdf,407 SIXTH ST NW,CANTON,44702
