program_id,program_name,pdf,Address,City,Zip
403089,NATIONWIDE CHILDREN'S HOSPITAL CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000403089_2024-12-16_ANNUAL.pdf,646 S. 18TH ST.,COLUMBUS,43205
100093,KIDSTOWN CHILDCARE AND PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000100093_2024-02-07_ANNUAL.pdf,55 STADIUM DRIVE,BOARDMAN,44512
100253,GROWING KIDS ACADEMY,https://childcaresearch.ohio.gov//pdf/000000100253_2024-07-25_ANNUAL.pdf,2935 SUITE #1 MARKET STREET,YOUNGSTOWN,44507
100365,YMCA CHILD CARE @ AVONDALE ELEMENTARY,https://childcaresearch.ohio.gov//pdf/000000100365_2024-09-11_ANNUAL.pdf,3933 EATON DR. NW,CANTON,44708
100402,HEAD START AT DAVID BACON,https://childcaresearch.ohio.gov//pdf/000000100402_2024-11-25_ANNUAL.pdf,181 STRECKER DRIVE,TALLMADGE,44278
100421,THE LEARNING TREE CHILDCARE CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000100421_2024-07-10_ANNUAL.pdf,76 S MARKET ST,EAST PALESTINE,44413
101128,YWCA CANTON EARLY CHILDHOOD LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000101128_2024-12-03_ANNUAL.pdf,231 SIXTH STREET N.E.,CANTON,44702
101640,MONTESSORI PRESCHOOL OF COSHOCTON INC,https://childcaresearch.ohio.gov//pdf/000000101640_2024-10-30_ANNUAL.pdf,142 N FOURTH ST,COSHOCTON,43812
101906,WINONA METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000101906_2024-12-11_ANNUAL.pdf,32114 WINONA RD,WINONA,44493
102387,VILLA MARIA TERESA,https://childcaresearch.ohio.gov//pdf/000000102387_2024-12-18_ANNUAL.pdf,50 WARNER RD,HUBBARD,44425
102811,VALLEY KIDS,https://childcaresearch.ohio.gov//pdf/000000102811_2024-09-09_ANNUAL.pdf,1670 AKRON PENINSULA RD,AKRON,44313
103519,"JUST FOR KIDS CHILD CARE AND LEARNING CENTER, INC.",https://childcaresearch.ohio.gov//pdf/000000103519_2024-08-06_ANNUAL.pdf,10313 SOUTH ST,GARRETTSVILLE,44231
104265,CHILDTIME LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000104265_2024-10-16_ANNUAL.pdf,3101 GRAHAM RD,STOW,44224
104712,HARTZ EARLY CARE AND EDUCATION CENTER,https://childcaresearch.ohio.gov//pdf/000000104712_2023-10-24_ANNUAL.pdf,230 STOW AVENUE,CUYAHOGA FALLS,44221
106298,KOZMIC KORNER INC,https://childcaresearch.ohio.gov//pdf/000000106298_2024-07-01_ANNUAL.pdf,8282 PORT JACKSON AVE NW,NORTH CANTON,44720
106850,HEAD START AT CEDAR,https://childcaresearch.ohio.gov//pdf/000000106850_2024-01-24_ANNUAL.pdf,442 BELL STREET,AKRON,44307
107064,A PLACE FOR EVERYONE LLC,https://childcaresearch.ohio.gov//pdf/000000107064_2024-12-10_ANNUAL.pdf,5192 DARROW RD,HUDSON,44236
200015,PRIMROSE SCHOOL AT WEST CHESTER,https://childcaresearch.ohio.gov//pdf/000000200015_2024-10-21_ANNUAL.pdf,8378 PRINCETON GLENDALE ROAD,WEST CHESTER,45069
200185,YMCA AT RUSHMORE,https://childcaresearch.ohio.gov//pdf/000000200185_2024-10-17_ANNUAL.pdf,7701 BERCHMAN,HUBER HEIGHTS,45424
200348,YMCA SCHOOL AGE ENRICHMENT PROGRAM @ DECA PREP,https://childcaresearch.ohio.gov//pdf/000000200348_2024-11-01_ANNUAL.pdf,249 SQUIRREL ROAD,DAYTON,45405
200371,COVENANT CHILDREN'S ACADEMY,https://childcaresearch.ohio.gov//pdf/000000200371_2024-10-15_ANNUAL.pdf,201 N LIMESTONE ST,SPRINGFIELD,45503
200377,XENIA YMCA CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000200377_2024-12-23_ANNUAL.pdf,336 S.PROGRESS DRIVE,XENIA,45385
200493,CEDARVILLE LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200493_2024-01-12_ANNUAL.pdf,296 N MAIN ST,CEDARVILLE,45314
200584,"TREE HOUSE CHILDCARE, INC.",https://childcaresearch.ohio.gov//pdf/000000200584_2024-10-29_ANNUAL.pdf,949 HARRISON AVE,HARRISON,45030
200585,OUR FATHER CHILDREN'S CENTER,https://childcaresearch.ohio.gov//pdf/000000200585_2024-09-16_ANNUAL.pdf,11505 LINCOLNSHIRE,FOREST PARK,45240
200644,A GREAT START PRESCHOOL INC,https://childcaresearch.ohio.gov//pdf/000000200644_2024-11-21_ANNUAL.pdf,7001 FAR HILLS AVE,DAYTON,45459
200683,CHILD FOCUS PRESCHOOL PROGRAM AT THOMASTON WOODS,https://childcaresearch.ohio.gov//pdf/000000200683_2024-12-12_ANNUAL.pdf,1460 THOMASTON WOODS DRIVE,AMELIA,45102
200719,KINDERCARE LEARNING CENTER #123,https://childcaresearch.ohio.gov//pdf/000000200719_2024-08-15_ANNUAL.pdf,418 W WENGER RD,ENGLEWOOD,45322
200913,TINY STEPS DEVELOPMENT CENTER INC.,https://childcaresearch.ohio.gov//pdf/000000200913_2024-07-29_ANNUAL.pdf,6001 MADISON RD,CINCINNATI,45227
200947,YOUTHLAND ACADEMY OF BLUE ASH,https://childcaresearch.ohio.gov//pdf/000000200947_2024-08-13_ANNUAL.pdf,9280 PLAINFIELD RD,CINCINNATI,45236
200979,A BRIGHTER START CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000200979_2024-10-02_ANNUAL.pdf,2765 BLUE ROCK RD.,CINCINNATI,45239
201348,WEE-CARE LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000201348_2024-07-09_ANNUAL.pdf,4886 STATE ROUTE 125,GEORGETOWN,45121
201452,IVY'S UNIQUE KIDS INC.,https://childcaresearch.ohio.gov//pdf/000000201452_2024-11-05_ANNUAL.pdf,2065 SCHAPPELLE LANE,FOREST PARK,45240
203695,LAKOTA FAMILY YMCA AT HERITAGE,https://childcaresearch.ohio.gov//pdf/000000203695_2024-10-04_ANNUAL.pdf,5052 HAMILTON MASON RD,HAMILTON,45011
204064,WEE-HAVEN CHILDREN'S CENTER INC,https://childcaresearch.ohio.gov//pdf/000000204064_2024-10-23_ANNUAL.pdf,2201 W SCHANTZ AVE,KETTERING,45409
204337,GMV YMCA @ HIGHLAND ELEMENTARY,https://childcaresearch.ohio.gov//pdf/000000204337_2024-09-10_ANNUAL.pdf,1125 MAIN STREET,HAMILTON,45013
204837,COUNTRY HILLS EAST MONTESSORI LTD,https://childcaresearch.ohio.gov//pdf/000000204837_2023-12-12_ANNUAL.pdf,4400 GLEN ESTE-WITHAMSVILLE RD,CINCINNATI,45245
204960,WINNIE THE POOH CHILDREN'S CENTER,https://childcaresearch.ohio.gov//pdf/000000204960_2024-01-09_ANNUAL.pdf,3962 BRITTON BOULEVARD,CINCINNATI,45245
205547,A CHILD'S GARDEN,https://childcaresearch.ohio.gov//pdf/000000205547_2024-12-18_ANNUAL.pdf,5427 JULMAR DRIVE,CINCINNATI,45238
205682,RAINBOW YEARS CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000205682_2024-07-23_ANNUAL.pdf,2727 S SMITHVILLE ROAD,DAYTON,45420
205904,KINDERCARE LEARNING CENTER #124,https://childcaresearch.ohio.gov//pdf/000000205904_2024-07-08_ANNUAL.pdf,1111 E STROOP ROAD,KETTERING,45429
206065,GREENBUSH HEAD START CENTER,https://childcaresearch.ohio.gov//pdf/000000206065_2024-10-30_ANNUAL.pdf,16003 STATE ROUTE 68,MT ORAB,45154
206284,KCE CHAMPIONS LLC @ LOVELAND,https://childcaresearch.ohio.gov//pdf/000000206284_2024-10-03_ANNUAL.pdf,550 LOVELAND-MADEIRA ROAD,LOVELAND,45140
206527,YMCA SCHOOLAGE ENRICHMENT PROGRAM AT MEDLAR VIEW,https://childcaresearch.ohio.gov//pdf/000000206527_2024-10-10_ANNUAL.pdf,4400 MEDLAR RD,MIAMISBURG,45342
206528,YMCA SCHOOL AGE ENRICHMENT PROGRAM AT BAUER,https://childcaresearch.ohio.gov//pdf/000000206528_2024-10-28_ANNUAL.pdf,6951 SPRINGBORO PK,DAYTON,45449
206534,GMV YMCA @ KRAMER ELEMENTARY,https://childcaresearch.ohio.gov//pdf/000000206534_2024-02-27_ANNUAL.pdf,400 W. SYCAMORE STREET,OXFORD,45056
