program_id,program_name,pdf,Address,City,Zip,Begin-Time,Building-Approval-Date,End-Time,Fire-Inspection-Approval-Date,Food-Service-Risk-Level,Inspection-Date,Inspection-Notice,Inspection-Scope,Infant-Full-Time,Infant-Part-Time,Infant-Total,Older-Toddler-Full-Time,Older-Toddler-Part-Time,Older-Toddler-Total,Preschool-Full-Time,Preschool-Part-Time,Preschool-Total,School-Age-Full-Time,School-Age-Part-Time,School-Age-Total,Total-Capacity-Enrollment-Full-Time,Total-Capacity-Enrollment-License-Capacity,Total-Capacity-Enrollment-Part-Time,Total-Capacity-Enrollment-Total,Total-Under-2-Years-Full-Time,Total-Under-2-Years-License-Capacity,Total-Under-2-Years-Part-Time,Total-Under-2-Years-Total,Young-Toddler-Full-Time,Young-Toddler-Part-Time,Young-Toddler-Total,Maximum-Under-2,No-Low-Risk,No-Moderate-Risk,No-Rules-with-Non-compliances,No-Serious-Risk,Occupancy-Limit,Program-Name,Reviewer,Use-Group-Code
100093,KIDSTOWN CHILDCARE AND PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000100093_2024-02-07_ANNUAL.pdf,55 STADIUM DRIVE,BOARDMAN,44512,10:57 AM,09/27/2022,5:19 PM,09/06/2023,Level III,02/07/2024,Unannounced,Full,22.0,0.0,22.0,10.0,0.0,10.0,58.0,0.0,58.0,0.0,20.0,20.0,68.0,193.0,20.0,131.0,43.0,56.0,0.0,43.0,21.0,0.0,21.0,,4.0,0.0,4.0,0.0,186,Kidstown Childcare and Preschool,KATHLEEN BONACCI,E
100253,GROWING KIDS ACADEMY,https://childcaresearch.ohio.gov//pdf/000000100253_2024-07-25_ANNUAL.pdf,2935 SUITE #1 MARKET STREET,YOUNGSTOWN,44507,9:15 AM,09/13/1972,1:11 PM,08/22/2018,Exempt,10/15/2024,Unannounced,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,45.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,12.0,1.0,9.0,0.0,200,COVENANT CHILDREN'S ACADEMY,Rebecca Worrell,BB 303 (pre 1970)
100365,YMCA CHILD CARE @ AVONDALE ELEMENTARY,https://childcaresearch.ohio.gov//pdf/000000100365_2024-09-11_ANNUAL.pdf,3933 EATON DR. NW,CANTON,44708,9:00 AM,02/21/1997,11:30 AM,09/20/2024,Level II,10/02/2024,Unannounced,Full,11.0,0.0,11.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,21.0,44.0,0.0,32.0,11.0,21.0,0.0,11.0,0.0,0.0,0.0,2½,9.0,2.0,10.0,0.0,100,A BRIGHTER START CHILDCARE,Kristin Blassingame,E with 1-2
100402,HEAD START AT DAVID BACON,https://childcaresearch.ohio.gov//pdf/000000100402_2024-11-25_ANNUAL.pdf,181 STRECKER DRIVE,TALLMADGE,44278,9:30 AM,03/04/2002,1:13 PM,10/20/2023,Level III,07/08/2024,Unannounced,Full,11.0,0.0,11.0,10.0,0.0,10.0,37.0,0.0,37.0,31.0,0.0,31.0,78.0,112.0,0.0,94.0,16.0,24.0,0.0,16.0,5.0,0.0,5.0,5,6.0,1.0,6.0,0.0,5,KINDERCARE LEARNING CENTER #124,BRENDA MEYER,E
100421,THE LEARNING TREE CHILDCARE CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000100421_2024-07-10_ANNUAL.pdf,76 S MARKET ST,EAST PALESTINE,44413,9:35 AM,09/24/2009,1:10 PM,03/07/2024,Exempt,08/09/2024,Unannounced,Full,6.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,12.0,6.0,0.0,6.0,18.0,33.0,0.0,29.0,11.0,23.0,0.0,11.0,5.0,0.0,5.0,144,7.0,1.0,7.0,0.0,289,A CHILD'S JOURNEY LEARNING CENTER,STEPHANIE WALTERS,E
101128,YWCA CANTON EARLY CHILDHOOD LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000101128_2024-12-03_ANNUAL.pdf,231 SIXTH STREET N.E.,CANTON,44702,9:30 AM,01/03/2000,2:00 PM,07/22/2024,Level III,12/03/2024,Unannounced,Full,15.0,0.0,15.0,19.0,0.0,19.0,13.0,0.0,13.0,0.0,0.0,0.0,32.0,150.0,0.0,58.0,26.0,58.0,0.0,26.0,11.0,0.0,11.0,12,9.0,0.0,8.0,0.0,,"YWCA Canton Early Childhood Learning
Center",TONYA WASHINGTON,E with 1-2
101640,MONTESSORI PRESCHOOL OF COSHOCTON INC,https://childcaresearch.ohio.gov//pdf/000000101640_2024-10-30_ANNUAL.pdf,142 N FOURTH ST,COSHOCTON,43812,10:35 AM,07/07/2003,12:55 PM,08/22/2024,Level II,10/30/2024,Unannounced,Full,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,42.0,0.0,0.0,0.0,12.0,49.0,30.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,49,"MONTESSORI PRESCHOOL OF COSHOCTON
INC",SARAH HEIL-HINTON,E
101906,WINONA METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000101906_2024-12-11_ANNUAL.pdf,32114 WINONA RD,WINONA,44493,9:30 AM,10/23/2000,12:50 PM,08/28/2024,Exempt,12/11/2024,Unannounced,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,46.0,18.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,50,WINONA UNITED METHODIST PRESCHOOL,SHERI BAILEY,E
102387,VILLA MARIA TERESA,https://childcaresearch.ohio.gov//pdf/000000102387_2024-12-18_ANNUAL.pdf,50 WARNER RD,HUBBARD,44425,9:15 AM,01/30/1999,11:42 AM,11/05/2024,Level III,12/18/2024,Unannounced,Full,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,37.0,0.0,0.0,0.0,21.0,90.0,16.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,5.0,0.0,100,VILLA MARIA TERESA,Tamela Green,
102811,VALLEY KIDS,https://childcaresearch.ohio.gov//pdf/000000102811_2024-09-09_ANNUAL.pdf,1670 AKRON PENINSULA RD,AKRON,44313,11:30 AM,04/12/1993,3:00 PM,11/08/2023,Level III,09/09/2024,Unannounced,Full,5.0,0.0,5.0,4.0,0.0,4.0,7.0,0.0,7.0,0.0,19.0,19.0,11.0,60.0,19.0,38.0,8.0,26.0,0.0,8.0,3.0,0.0,3.0,26,16.0,2.0,15.0,0.0,86,Valley Kids,TONYA WASHINGTON,E
